Reference	Family	Scientific name	Vernacular name	Native/Exotic	Habit	Flowering (month)	Syndrome	Other usages	photo (book)	photo (internet)	Pollinator quoted	Pollinator species quoted	References about pollinator 
P. B. Cavalcante	Malpiguiaceae	Malpighia punicifolia L., M. retusa Benth.	Acerola	Exotic	Bush		Mellitophily		no	yes	bee	Centris americana, Centris flavifrons, Centris longimana, Centris rhodoprocta, Centris terminata, Melipona paraensis, Tetragona clavipes	MAGALHÃES, L.M.F.; OLIVEIRA, D. 1998. Abelhas visitantes da flor da aceroleira (Malpighia punicifolia L.) em Terra-Alta/PA, Amazônia. Anais do Encontro sobre Abelhas de Ribeirão Preto. / VILHENA, A. M. G. F.; AUGUSTO, F. C. 2008. Polinizadores da aceroleira Malpighia emarginata DC (Malpighiaceae) em área de cerrado no triângulo mineiro.Biocience journal 23:14-23.
P. B. Cavalcante	Clusiaceae	Mammea americana L.	Abricó	Exotic	Tree	6 to 12	Mellitophily		no	yes	bee	no species quoted	NASCIMENTO, W. M. O.; CARVALHO, J. E. U.; MÜLLER C. H. 2008. Propagação do abricoteiro. – Belém, PA: Embrapa Amazônia OrientaL.
P. B. Cavalcante	Anacardiaceae	Mangifera indica L.	Manga 	Exotic	Tree	5 to 7	Myophily		no	yes	fly, bee	Palpada vinetorum, Belvosia bicincta, Musca domestica (Diptera), Apis mellifera (Apidae)	KIILL, L.H.P.; SIQUEIRA, K.M.M. 2012. Polinização da Mangueira (Mangifera indica). In. Ribeiro, M.F. III Semana dos Polinizadores: Palestras e Resumos. Embrapa, Petrolina, p. 124-138.
P. B. Cavalcante	Sapotaceae	Manilkara huberi (Ducke) Chevalier	Maçaranduba 	Native	Tree	5 to 9	Myophily		no	yes	fly	Ornidia obesa, Eristalis sp (Syrphidae)	MAUES, M. M. 2004. Polinização de uma espécie emergente na Floresta Nacional do Tapajós-PA: Manilkara huberi (Ducke) Standley Sapotaceae. 25o Congresso de Ecologia.
P. B. Cavalcante	Sapotaceae	Manilkara zapota (L.) P. Royen 	Sapotilha	Exotic	Tree	10 to 12	Mellitophily		yes	yes			
P. B. Cavalcante	Arecaceae	Mauritia flexuosa L.f.	Miriti	Native	Tree	2 to 8	Cantarophily	Huts	no	no	beetle	no species quoted	STORTI, E.F. 1993. Biologia floral de Mauritia flexuosa Lin. Fil, na região. Acta amazónica 23:371-381.
P. B. Cavalcante	Arecaceae	Mauritiella armata (Mart.) Burr.	Caraná (buriti)	Native	Tree		Cantarophily		no	yes			
P. B. Cavalcante	Arecaceae	Maximiliana maripa (Aubl.) Drude	Inajá	Native	Tree	10 to 11	Cantarophily		no	yes	beetle	Cyclocephala distincta, Pachymerus sp, Epitragini sp, Belopeus carmelitus	MACAMBIRA, M. L. J.; JARDIM, M. A. G.. Identificação dos insetos visitantes de inflorescências da palmeira Inajá (MAXIMILIANA MARIPA L.). Boletim do Museu Paraense Emílio Goeldi: série zoologia, v. 13, n. 1, p. 85-94, 1997.
P. B. Cavalcante	Sapindaceae	Melicoccus bijugatus Jacq.	Pitomba-das-Guianas	Native	Tree	2 to 3	Mellitophily		yes	yes			
P. B. Cavalcante	Sapotaceae	Micropholis acutangula (Ducke) Eyma	Abiu-carambola	Native	Tree	8 to 10	Mellitophily		no	no			
P. B. Cavalcante	Melastomataceae	Mouriri apiranga Spruce ex Triana	Apiranga 	Native	Bush		Mellitophily		no	no			
P. B. Cavalcante	Melastomataceae	Mouriri eugeniifolia Spruce ex Triana	Dauicu	Native	Tree		Mellitophily		no	no			
P. B. Cavalcante	Malastomataceae	Mouriri ficoides Morley	Muriri	Native	Tree	10 to 12	Mellitophily		no	no			
P. B. Cavalcante	Melastomataceae	Mouriri grandiflora DC.	Camutim	Native	Tree	8 to 12	Mellitophily		no	no			
P. B. Cavalcante	Melastomataceae	Mouriri guianensis Aubl. 	Gurguri	Native	Bush	9 to 2	Phalenophily 		yes	yes			
P. B. Cavalcante	Melastomataceae	Mouriri pusa Gardner	Puçá	Native	Tree	3 to 8	Mellitophily		yes	yes			
P. B. Cavalcante	Melastomataceae	Mouriri trunciflora Ducke	Mirauba 	Native	Tree		Mellitophily		no	no			
P. B. Cavalcante	Polygalaceae	Moutabea chodatiana Huber	Gogó-de-Guariba	Native	Liana		Undefined		no	no			
P. B. Cavalcante	Musaceae	Musa X paradisiaca L.	Banana	Exotic	Tree	1 to 12	Chiropterophily		no	yes	bat	Glossophaga soricina, Anoura caudifer, Phyllostomus discolor	PEDROZO, A. R. 2011. Partilha de néctar de Musa paradisiaca (Musaceae) por três espécies de morcegos filostomideos na região Sudeste do Brasil. Universidade Estadual Paulista.
P. B. Cavalcante	Myrtaceae	Myrcia fallax (Rich.) DC.	Frutinheira 	Native	Bush	8 to 9	Mellitophily		no	no			
P. B. Cavalcante	Myrtaceae	Myrciaria dubia (KUNTH) McVaugh	Caçari, camu-camuzeiro	Native	Bush		Mellitophily		yes	yes	bee	Apis mellifera, Exomalopsis auropilosa, Melipona compressipes fasciculata, Melipona fasciculata, M. seminigra, M. flavolineata, Nannotrigona punctata, Partamona sp., Partamona cupira, Trigona branneri, Trigona pallens, Trigona recursa	MAUÉS, M.M.; COUTURIER, G. 2002. Biologia floral e fenologia reprodutiva de camu-camu (Myrciaria dubia (H.B.K.) McVaugh, Myrtaceae) no Estado do Pará, Brasil. Revista Brasileira de Botânica 25:441-448 / VENTURIERI, G.C.; CONTRERA, F.A.L. 2012. Biodiversidade de Abelhas na Amazônia: os Meliponíneos e seu Uso na Polinização de Culturas Agrícolas. In. Ribeiro, M.F. III Semana dos Polinizadores: Palestras e Resumos. Embrapa, Petrolina, p. 22-35. 
P. B. Cavalcante	Sapotaceae	Neoxythece elegans (A. DC) Aubr	Caramuri	Native	Tree	6 to 10	Undefined		no	no			
P. B. Cavalcante	Arecaceae	Oenocarpus bacaba Mart.	Bacaba	Native	Tree	1 to 3	Cantarophily		no	no	beetle	Cyclocephala marginalis, Cyclocephala sarpedon, others	KÜCHMEISTER, H.; WEBBER, A.C.; SILBERBAUER-GOTTSBERGER, I.; GOTTSBERGER, G. 1998. A Polonização e sua relação com a termogênese em espécies de Arecaceae e Annonaceae da Amazônia Central. Acta Amazonica 28:217-245.
P. B. Cavalcante	Arecaceae	Oenocarpus bataua Mart.	Patauá	Native	Tree	1 to 4	Cantarophily		no	yes			
P. B. Cavalcante	Arecaceae	Oenocarpus mapora Karsten	Bacabinha 	Exotic	Tree		Cantarophily		no	no			
P. B. Cavalcante	Arecaceae	Oenocarpus minor Mart.	Bacabi 	Native	Tree	11 to 4	Cantarophily		no	no	beetle	no species quoted	KÜCHMEISTER, H.; WEBBER, A.C.; SILBERBAUER-GOTTSBERGER, I.; GOTTSBERGER, G. 1998. A Polonização e sua relação com a termogênese em espécies de Arecaceae e Annonaceae da Amazônia Central. Acta Amazonica 28:217-245.
P. B. Cavalcante	Arecaceae	Oenorcapus distichus Mart.	Bacaba-de-Leque	Native	Tree	1 to 3	Cantarophily		no	no	beetle	Cyclophora distincta	COUTURIER, G. OLIVEIRA, M. S. P. BESERRA P. 1999. Insetos visitantes e polinizadores em palmeiras nativas da Amazonia. Embrapa Amazonia Oriental, 1:1-3. 
S. Silva	Arecaceae	Orbignya phalerata Mart.	Babaçu	Native	Tree		Undefined	Crafts, huts	yes	no			
